DriverID,FirstName,LastName,ContactInformation,DepotID,LicenceType,LicenceExpiryDate,EmploymentStatus,EmergencyContactDetails
234,Tran,Thi Yen,(424)937-2805x129,4,Standard Licence,2028-12-20,On Leave,Jennifer Reyes +1-672-939-5041x02767
235,Hoang,Quoc Tuan,001-883-766-7428x6047,5,Heavy Vehicle Licence,2026-11-30,Active,Melanie Williams +1-656-894-5441
236,Vo,Thi Huong,239.838.5258x001,3,Standard Licence,2029-02-07,Active,Brian Griffin 544.330.0910
237,Ngo,Thi Lan,001-911-392-6921x244,8,Standard Licence,2026-06-25,Active,Tammy Hill (954)321-4066x50442
238,Vo,Minh Khoa,939.662.7128x6391,4,Standard Licence,2029-05-30,Active,
239,Bui,Thi Dung,401-219-4707,5,Standard Licence,2026-03-29,Active,Mary Adams 001-556-290-8776x618
240,Duong,Thi Mai,(771)398-5546x0158,5,Standard Licence,2026-02-05,Active,Paige Roberts 728.906.3461
241,Vo,Thi Huong,973-820-3093,1,Standard Licence,2029-01-18,Active,Joshua Parker +1-370-505-0506
242,Ngo,Minh Tuan,+1-287-582-9310x2707,3,Standard Licence,2026-09-16,Active,Bianca Jackson 3419792911
243,Truong,Thi Hoa,+1-493-713-6565x198,8,Standard Licence,2026-04-19,Active,Rebecca Duran 001-725-411-4262
244,Hoang,Van Hai,239.202.1962x071,3,Standard Licence,2026-05-18,Suspended,Brandon Pearson 267-423-2487x6329
245,Cao,Thi Dung,001-379-714-5608x331,7,Standard Licence,2028-07-23,Terminated,Victoria Romero 234.703.1277x220
246,Truong,Ngoc Anh,236-945-9701x0822,8,Heavy Vehicle Licence,2029-01-23,Active,Andrea Young 599.856.3531x531
247,Phan,Huu Duc,,5,Heavy Vehicle Licence,2026-09-06,Suspended,Jaime Walker 997.506.2397x2652
248,Vu,Van Hai,+1-954-835-2090x4217,1,Standard Licence,2026-04-09,On Leave,Greg Tanner +1-929-929-8316x873
249,Cao,Minh Tuan,206-833-5693x929,8,Heavy Vehicle Licence,2026-08-28,On Leave,Amanda Ruiz 001-880-568-6717x73180
250,Ly,Van Hai,(954)231-0742,1,Standard Licence,2026-05-23,Active,Julie Taylor 001-862-657-0165x804
